broker,count,bamount,bcount,samount,scount,top3
中泰证券股份有限公司电子商务分公司,4,620.11,2,417.94,2,"银禧科技,国风塑业"
信达证券股份有限公司浙江分公司,1,902.96,1,0.0,0,德展健康
光大证券股份有限公司中山博爱四路证券营业部,5,2965.43,3,2613.75,2,"卓翼科技,国光电器,贵人鸟,"
方正证券股份有限公司西安沣惠南路证券营业部,1,0.0,0,168.12,1,国风塑业
中信证券股份有限公司杭州延安路证券营业部,10,8070.93,8,3858.5,2,"聚力文化,麦克奥迪,银河磁体,"
财通证券股份有限公司杭州文二西路证券营业部,3,10.25,1,2343.04,2,"国光电器,退市大控,南华期货"
中信证券（山东）有限责任公司聊城东昌东路证券营业部,1,0.0,0,90.46,1,国风塑业
渤海证券股份有限公司上海虹口区大连路证券营业部,1,0.0,0,2217.29,1,德展健康
华泰证券股份有限公司北京东三环北路证券营业部,4,1557.96,2,2612.74,2,"南华期货,神马电力,任子行,"
国泰君安证券股份有限公司武汉洞庭街证券营业部,1,0.0,0,83.98,1,国风塑业
联储证券有限责任公司台州黄岩西街证券营业部,1,0.0,0,2174.88,1,德展健康
中国国际金融股份有限公司厦门莲岳路证券营业部,2,0.0,0,957.99,2,"国光电器,力合科技"
招商证券股份有限公司济南泉城路证券营业部,1,0.0,0,78.77,1,国风塑业
长城证券股份有限公司温州车站大道证券营业部,1,0.0,0,2045.44,1,德展健康
中国国际金融股份有限公司北京建国门外大街证券营业部,2,0.0,0,1200.18,2,"国光电器,南洋股份"
华安证券股份有限公司马鞍山江东大道证券营业部,1,0.0,0,64.4,1,国风塑业
国联证券股份有限公司杭州飞云江路证券营业部,3,1479.92,1,2231.39,2,"瑞达期货,德展健康"
中国中投证券有限责任公司广州体育东路证券营业部,2,0.0,0,2143.38,2,"国光电器,神马电力"
申万宏源证券有限公司上海青浦区公园路证券营业部,3,69.6,1,76.5,2,印纪退
平安证券股份有限公司芜湖江北证券营业部,2,20.37,1,21.22,1,印纪退
天风证券股份有限公司深圳后海证券营业部,19,14485.46,11,10345.76,8,"艾格拉斯,盛天网络,九鼎新材,"
安信证券股份有限公司东莞南城证券营业部,1,11.5,1,0.0,0,印纪退
海通证券股份有限公司南京广州路证券营业部,12,6564.81,7,4790.89,5,"九鼎新材,艾格拉斯,祥鑫科技,"
湘财证券股份有限公司上海陆家嘴证券营业部,6,851.25,3,1549.71,3,"康盛股份,香山股份,爱朋医疗,"
申万宏源证券有限公司温州车站大道证券营业部,8,493.93,4,550.21,4,"印纪退,退市大控,长生退"
国泰君安证券股份有限公司南京太平南路证券营业部,11,18850.38,6,8876.04,5,"八方股份,左江科技,任子行,"
华泰证券股份有限公司广州云城西路证券营业部,1,0.0,0,2663.47,1,九鼎新材
国盛证券有限责任公司宁波桑田路证券营业部,11,11548.74,8,5779.63,3,"鼎龙文化,广电计量,丰乐种业,"
中泰证券股份有限公司淄博临淄大道证券营业部,3,123.31,2,23.72,1,"退市大控,印纪退"
中信证券股份有限公司余姚南雷路证券营业部,3,0.0,0,726.6,3,"退市大控,圣达生物,印纪退"
中国国际金融股份有限公司深圳福华一路证券营业部,1,31671.0,1,0.0,0,南洋股份
长江证券股份有限公司上海世纪大道证券营业部,1,1747.15,1,0.0,0,南洋股份
南京证券股份有限公司广州体育西路证券营业部,1,2293.71,1,0.0,0,水晶光电
华泰证券股份有限公司深圳红荔路证券营业部,1,1569.01,1,0.0,0,杰瑞股份
国信证券股份有限公司深圳泰然九路证券营业部,10,3122.25,4,8203.76,6,"水晶光电,康盛股份,宇瞳光学,"
中信证券股份有限公司上海漕溪北路证券营业部,3,6751.88,3,0.0,0,"昆仑万维,杰瑞股份,方大集团"
国泰君安证券股份有限公司九江甘棠路证券营业部,1,1202.84,1,0.0,0,南洋股份
中国银河证券股份有限公司宜昌新世纪证券营业部,2,1272.51,1,1174.8,1,"杰瑞股份,尚纬股份"
方正证券股份有限公司台州解放路证券营业部,1,1455.44,1,0.0,0,水晶光电
华泰证券股份有限公司南京户部街证券营业部,2,1695.7,2,0.0,0,"南洋股份,透景生命"
广发证券股份有限公司福清清昌大道证券营业部,1,0.0,0,31671.0,1,南洋股份
中泰证券股份有限公司厦门鹭江道证券营业部,2,43.9,1,6155.28,1,"红宇新材,杰瑞股份"
申万宏源证券有限公司上海静安区余姚路证券营业部,1,0.0,0,2754.07,1,杰瑞股份
